Time	A470	A350	A340	A330	A320	A310	A300	
0.0004125	0.0162069	0.120677	0.272813	0.556708	0.968709	1.35605	1.85138
0.0008375	0.0173015	0.120861	0.272167	0.556199	0.969514	1.33683	1.84683
0.0012625	0.0172284	0.121346	0.270937	0.552331	0.972199	1.3342	1.84945
0.001675	0.0167781	0.120907	0.270328	0.557324	0.968197	1.34317	1.85042
0.0021125	0.0164336	0.119968	0.269507	0.556874	0.967445	1.35024	1.85155
0.0025375	0.0155245	0.11885	0.268581	0.55787	0.965939	1.34945	1.85024
0.002975	0.0155364	0.119318	0.267861	0.558769	0.965822	1.34836	1.85091
0.0034125	0.0148219	0.120701	0.268009	0.55795	0.967824	1.34791	1.85236
0.00385	0.0151075	0.120574	0.268911	0.558274	0.969978	1.34758	1.85409
0.0042875	0.015431	0.12039	0.268953	0.558492	0.970489	1.34615	1.85531
0.0047375	0.0148575	0.121163	0.268441	0.557173	0.969742	1.34522	1.85424
0.0051875	0.0150412	0.121121	0.268865	0.556679	0.969664	1.34473	1.85395
0.0056375	0.0154614	0.120906	0.269211	0.557775	0.970465	1.34603	1.85398
0.0060875	0.0159983	0.121489	0.269232	0.558447	0.970788	1.3468	1.85457
0.00655	0.0155313	0.122145	0.268617	0.557953	0.970337	1.34633	1.85378
0.0070125	0.0155576	0.122376	0.268321	0.55783	0.9699	1.346	1.85388
0.007475	0.0155512	0.122332	0.269241	0.557894	0.970036	1.34599	1.85356
0.00795	0.0153827	0.121768	0.26943	0.557729	0.96986	1.34556	1.85279
0.0084125	0.015477	0.12206	0.269539	0.557814	0.969515	1.34518	1.85324
0.0088875	0.0153356	0.122096	0.270141	0.557923	0.969802	1.34452	1.85254
0.0093625	0.0156268	0.122016	0.270589	0.557524	0.969291	1.34357	1.8526
0.00985	0.0155684	0.122052	0.270007	0.556965	0.968722	1.34279	1.85121
0.0103375	0.0153753	0.121932	0.269249	0.557052	0.968529	1.34293	1.8513
0.010825	0.015334	0.12186	0.269379	0.556913	0.968336	1.34253	1.85024
0.0113125	0.0153653	0.121598	0.269838	0.557227	0.968056	1.3416	1.84949
0.0118	0.0155132	0.121657	0.269965	0.557211	0.967672	1.341	1.85042
0.0123	0.0152323	0.121798	0.270161	0.55708	0.966794	1.34139	1.8496
0.0128	0.0147238	0.121864	0.269988	0.557136	0.966272	1.34028	1.84714
0.0133125	0.0148628	0.121791	0.26993	0.556966	0.965925	1.33976	1.84919
0.0138125	0.0149437	0.121642	0.269328	0.556538	0.965465	1.33878	1.84702
0.014325	0.0148011	0.121671	0.268927	0.556296	0.964703	1.33847	1.84722
0.0148375	0.0148379	0.121801	0.269121	0.556198	0.964325	1.338	1.84551
0.0153625	0.0149532	0.121987	0.26926	0.555883	0.96399	1.33724	1.84604
0.0158875	0.0147326	0.122096	0.269051	0.555528	0.963063	1.33621	1.84538
0.0164125	0.0150332	0.122497	0.269039	0.555167	0.962593	1.33582	1.84485
0.0169375	0.0151735	0.122438	0.269357	0.554739	0.962186	1.33505	1.84248
0.017475	0.0149284	0.122288	0.269089	0.553978	0.961566	1.33392	1.84236
0.0180125	0.0144885	0.12214	0.268641	0.553239	0.960594	1.33252	1.84046
0.01855	0.014671	0.122355	0.268708	0.553201	0.960073	1.33215	1.84062
0.0191	0.0148759	0.122421	0.269028	0.552974	0.959745	1.33147	1.84009
0.0196375	0.0147489	0.122057	0.268587	0.552534	0.958625	1.33027	1.8382
0.0202	0.0145808	0.121855	0.268097	0.551987	0.957659	1.32883	1.83667
0.02075	0.0147711	0.122133	0.267965	0.551777	0.956993	1.32779	1.83647
0.0213125	0.0146978	0.122052	0.267884	0.551476	0.956472	1.32722	1.83624
0.021875	0.0144569	0.12188	0.267327	0.550827	0.955226	1.32573	1.83468
0.0224375	0.0150011	0.122088	0.267254	0.550584	0.954856	1.32449	1.83364
0.0230125	0.0151797	0.12208	0.267044	0.550416	0.954116	1.32393	1.83324
0.0235875	0.0145456	0.121877	0.266552	0.549627	0.95312	1.32243	1.83108
0.024175	0.0145248	0.121798	0.266298	0.549061	0.952115	1.32113	1.83076
0.02475	0.0148655	0.121961	0.266376	0.548713	0.951614	1.31996	1.82969
0.0253375	0.0148179	0.121777	0.266092	0.548252	0.950737	1.31864	1.82838
0.0259375	0.0144789	0.121492	0.265803	0.547345	0.949302	1.31759	1.8261
0.026525	0.0146228	0.121481	0.265859	0.54694	0.948553	1.31612	1.82627
0.027125	0.014799	0.121489	0.26581	0.546722	0.947751	1.31531	1.82407
0.027725	0.0145927	0.121317	0.265602	0.54608	0.946622	1.31365	1.82221
0.0283375	0.0144848	0.121065	0.265464	0.545453	0.945525	1.31221	1.8222
0.02895	0.0144334	0.121045	0.26536	0.545037	0.944685	1.31099	1.8207
0.0295625	0.0143648	0.121077	0.26528	0.544316	0.94368	1.30961	1.81913
0.0301875	0.0145314	0.121105	0.26528	0.544	0.942529	1.30853	1.81796
0.0308125	0.0146155	0.121143	0.265973	0.543762	0.94177	1.30752	1.81683
0.0314375	0.0145167	0.120994	0.266532	0.543122	0.940549	1.30542	1.816
0.032075	0.0144165	0.12079	0.266117	0.542189	0.939252	1.30396	1.81382
0.0327125	0.0144822	0.120877	0.265879	0.541741	0.938222	1.30275	1.81308
0.0333625	0.014238	0.120709	0.2653	0.541146	0.936984	1.30144	1.81134
0.034	0.0140658	0.120501	0.264463	0.540274	0.935191	1.29925	1.80927
0.0346625	0.0141171	0.120449	0.264266	0.53985	0.934453	1.29788	1.80826
0.0353125	0.0142564	0.120575	0.263921	0.53898	0.933324	1.29653	1.80721
0.035975	0.0141636	0.120646	0.263166	0.538082	0.931886	1.29577	1.80505
0.0366375	0.0141548	0.120792	0.262904	0.537343	0.93069	1.29423	1.80336
0.0373125	0.0140031	0.120722	0.261968	0.536791	0.929545	1.29237	1.80245
0.0379875	0.0140335	0.120515	0.26118	0.536169	0.928134	1.28996	1.80009
0.0386625	0.0140042	0.120472	0.261123	0.536042	0.927278	1.28855	1.79909
0.03935	0.0137141	0.120381	0.260713	0.535267	0.925552	1.28735	1.79767
0.0400375	0.0136586	0.120343	0.26033	0.534464	0.924201	1.28593	1.79606
0.040725	0.0138608	0.12014	0.260283	0.533876	0.923091	1.28453	1.79461
0.041425	0.0137632	0.11985	0.259845	0.533046	0.921772	1.28263	1.79285
0.042125	0.0136874	0.119678	0.25947	0.5322	0.920165	1.28101	1.79096
0.0428375	0.0136699	0.119659	0.259421	0.531421	0.918949	1.27966	1.7892
0.04355	0.0136759	0.119353	0.25898	0.530685	0.91781	1.27829	1.78711
0.0442625	0.0137578	0.119141	0.258539	0.529936	0.916546	1.27679	1.78669
0.0449875	0.0136718	0.11901	0.258109	0.529935	0.915131	1.27564	1.78477
0.0457125	0.0134711	0.118797	0.257526	0.528897	0.913822	1.27324	1.78261
0.04645	0.0133651	0.118707	0.25721	0.528209	0.912346	1.27147	1.78111
0.0471875	0.0135122	0.118741	0.256968	0.52754	0.911184	1.27004	1.77944
0.0479375	0.013637	0.118581	0.256321	0.526776	0.909798	1.26773	1.77769
0.048675	0.0138165	0.118637	0.255773	0.52622	0.908714	1.26631	1.77624
0.0494375	0.0136857	0.118761	0.255435	0.524777	0.907277	1.26467	1.77433
0.0501875	0.0136251	0.118647	0.255091	0.523646	0.905668	1.26262	1.77296
0.05095	0.0138677	0.118535	0.25485	0.522794	0.904275	1.26079	1.77109
0.051725	0.0135671	0.118365	0.254298	0.521815	0.902758	1.25913	1.76921
0.0525	0.0136993	0.118441	0.254149	0.521231	0.901474	1.25756	1.76692
0.053275	0.0137015	0.118354	0.253714	0.52019	0.900107	1.25544	1.76588
0.0540625	0.0134926	0.118135	0.253496	0.519246	0.898424	1.25379	1.76404
