Time	A470	A350	A340	A330	A320	A310	A300	
0.0353125	0.0159274	0.161647	0.249117	0.392398	0.631375	1.01317	1.72603
0.035975	0.0158366	0.161475	0.248827	0.39167	0.630631	1.01215	1.72459
0.0366375	0.0160841	0.161598	0.24903	0.391631	0.630555	1.01129	1.72379
0.0373125	0.0159838	0.161841	0.248958	0.391621	0.630107	1.0102	1.72226
0.0379875	0.0158667	0.16181	0.248898	0.391076	0.629176	1.00904	1.7214
0.0386625	0.015964	0.161874	0.248928	0.391013	0.628855	1.00853	1.71977
0.03935	0.0159599	0.161879	0.248968	0.390856	0.628282	1.0075	1.71877
0.0400375	0.0160375	0.161951	0.248715	0.390454	0.627755	1.00644	1.71811
0.040725	0.016085	0.161948	0.2487	0.390189	0.627425	1.00561	1.71694
0.041425	0.0159206	0.161789	0.248694	0.389728	0.626865	1.00424	1.71528
0.042125	0.0159601	0.161791	0.248577	0.389562	0.62608	1.00332	1.71421
0.0428375	0.0159481	0.161883	0.248537	0.389443	0.625575	1.00224	1.71248
0.04355	0.0159918	0.161894	0.248412	0.389118	0.62508	1.00107	1.71079
0.0442625	0.0159231	0.161911	0.248468	0.388724	0.624267	1.00013	1.71007
0.0449875	0.0160486	0.162156	0.248465	0.388537	0.623792	0.998841	1.7083
0.0457125	0.015954	0.161981	0.248398	0.388262	0.622943	0.997622	1.70693
0.04645	0.0158556	0.16191	0.248234	0.388232	0.622214	0.996728	1.70649
0.0471875	0.0159871	0.162006	0.248273	0.387969	0.621719	0.995638	1.70495
0.0479375	0.0160043	0.161846	0.247912	0.387445	0.621021	0.994311	1.703
0.048675	0.0161389	0.161988	0.247939	0.387206	0.620441	0.99356	1.70181
0.0494375	0.0161142	0.161862	0.247913	0.387039	0.61979	0.992381	1.70009
0.0501875	0.0159837	0.161789	0.247777	0.386585	0.61913	0.991282	1.6991
0.05095	0.0159105	0.161977	0.247559	0.386246	0.618552	0.990223	1.69738
0.051725	0.0160265	0.161714	0.247502	0.385883	0.617719	0.989044	1.69595
0.0525	0.0159574	0.162038	0.247328	0.385527	0.61712	0.98782	1.69482
0.053275	0.0158274	0.162003	0.247199	0.384957	0.616271	0.986634	1.6929
0.0540625	0.0157533	0.161813	0.247152	0.384646	0.615229	0.98523	1.69171
0.05485	0.015881	0.161879	0.247104	0.384346	0.614668	0.984057	1.69025
0.05565	0.0159168	0.161849	0.246972	0.38389	0.614054	0.982894	1.68855
0.05645	0.015875	0.162061	0.246913	0.383513	0.613293	0.981563	1.68758
0.0572625	0.0158286	0.16182	0.246799	0.383368	0.612625	0.98068	1.68555
0.058075	0.0157932	0.161726	0.246748	0.382981	0.611693	0.979066	1.68408
0.0588875	0.0157378	0.161736	0.24648	0.382476	0.610816	0.977884	1.68263
0.0597125	0.015759	0.161555	0.246357	0.382207	0.610147	0.976767	1.6811
0.06055	0.0157872	0.161762	0.246231	0.381875	0.609491	0.975613	1.67908
0.061375	0.0155559	0.161772	0.245967	0.381341	0.608602	0.974092	1.67809
0.062225	0.015658	0.161505	0.246055	0.381012	0.60777	0.972785	1.67576
0.063075	0.0157503	0.161429	0.245918	0.38077	0.607132	0.971519	1.67404
0.063925	0.0157265	0.161564	0.245568	0.380294	0.606268	0.970233	1.67241
0.0647875	0.0156389	0.161452	0.245635	0.37987	0.6055	0.968893	1.67106
0.06565	0.0156	0.161294	0.245445	0.379505	0.604772	0.967641	1.66952
0.0665125	0.0155274	0.161258	0.245336	0.37912	0.603953	0.966224	1.66781
0.0674	0.0156018	0.161003	0.245083	0.378746	0.603164	0.965177	1.66634
0.068275	0.0155299	0.161149	0.244966	0.378252	0.602503	0.963724	1.66506
0.0691625	0.0154139	0.161046	0.244848	0.377984	0.601719	0.962375	1.66278
0.0700625	0.0152321	0.160914	0.244548	0.377507	0.600705	0.960739	1.6608
0.0709625	0.0153406	0.160937	0.244377	0.377113	0.59985	0.959371	1.65861
0.071875	0.0155351	0.161041	0.244282	0.376616	0.599128	0.958129	1.65766
0.0727875	0.0153556	0.160853	0.243914	0.376195	0.598173	0.95648	1.65593
0.0737	0.0151963	0.160815	0.243898	0.375695	0.597418	0.955189	1.65396
0.0746375	0.0151784	0.160562	0.243594	0.375163	0.596475	0.953703	1.65204
0.0755625	0.0153602	0.160463	0.243413	0.374791	0.595678	0.952371	1.65034
0.0765	0.0151583	0.16061	0.243336	0.374391	0.594909	0.951127	1.64858
0.07745	0.0150829	0.160475	0.243113	0.373884	0.594116	0.949594	1.64658
0.0784	0.0149498	0.160351	0.242832	0.373513	0.592978	0.948038	1.6447
0.0793625	0.014979	0.160276	0.242777	0.373083	0.592104	0.946526	1.64318
0.080325	0.0150717	0.160368	0.24249	0.372636	0.591332	0.945141	1.64139
0.0813	0.0150799	0.160218	0.242306	0.372233	0.590346	0.943752	1.6393
